Event,Event_Group,Event_Type,Proposition,Main_Category,Simplified_Page_URL,Count,Event_Type_Count
Other_Action,Refined,Other,other_action (Other Action),C-317_322.html,c-317_322,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-39.html,c-39,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-56.html,c-56,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_76.html,c-66_76,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-32.html,c-32,15,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_203.html,c-24_203,14,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_318.html,c-317_318,14,35061
Other_Action,Refined,Other,other_action (Other Action),C-34_115.html,c-34_115,14,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_308.html,c-66_308,14,35061
Other_Action,Refined,Other,other_action (Other Action),C-30_37.html,c-30_37,13,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_291.html,c-24_291,12,35061
Other_Action,Refined,Other,other_action (Other Action),C-35_316.html,c-35_316,12,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_206.html,c-24_206,10,35061
Other_Action,Refined,Other,other_action (Other Action),C-35_315.html,c-35_315,10,35061
Other_Action,Refined,Other,other_action (Other Action),C-61_338.html,c-61_338,10,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_221.html,c-66_221,10,35061
Other_Action,Refined,Other,other_action (Other Action),C-247.html,c-247,9,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_200.html,c-24_200,9,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_202.html,c-24_202,9,35061
Other_Action,Refined,Other,other_action (Other Action),C-278.html,c-278,9,35061
Other_Action,Refined,Other,other_action (Other Action),C-56_337.html,c-56_337,9,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_70.html,c-66_70,9,35061
Other_Action,Refined,Other,other_action (Other Action),C-78_358.html,c-78_358,9,35061
Other_Action,Refined,Other,other_action (Other Action),?products_id=290&oscsid=63a3b35456da25e36c4e100b7340da99,,8,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_212.html,c-24_212,8,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_336_23_254.html,c-24_336_23_254,8,35061
Other_Action,Refined,Other,other_action (Other Action),C-25.html,c-25,8,35061
